State,Year,Population_12_17,Population_18_25,Population_26plus,Rates.Marijuana.New Users.12-17,Rates.Marijuana.New Users.18-25,Rates.Marijuana.New Users.26+,Rates_Marijuana_Used_Past_Month_12_17,Rates_Marijuana_Used_Past_Month_18_25,Rates_Marijuana_Used_Past_Month_26plus
New Jersey,2004,745809,832522,5605723,0.052565,0.062298,0.001597,0.064651,0.160273,0.033165
New Mexico,2004,173285,224690,1167618,0.078306,0.061646,0.0017,0.091131,0.177055,0.041586
New York,2004,1584677,2050011,12371557,0.057342,0.065307,0.001782,0.083994,0.209001,0.048544
North Carolina,2004,715542,897851,5379787,0.053132,0.056517,0.001927,0.078243,0.150217,0.037955
North Dakota,2004,50426,82738,398634,0.053455,0.066968,0.001688,0.05815,0.112714,0.032115
Ohio,2004,980119,1257858,7263612,0.056716,0.065055,0.001835,0.074304,0.159989,0.040702
Oklahoma,2004,292067,418925,2171414,0.057587,0.05346,0.001809,0.071047,0.136224,0.032913
Oregon,2004,297935,396541,2331124,0.074217,0.067461,0.002683,0.093038,0.209227,0.061115
Pennsylvania,2004,1035623,1322980,8059411,0.061002,0.065775,0.001695,0.068805,0.180233,0.040446
Rhode Island,2004,88122,125374,691117,0.076276,0.076913,0.002132,0.108239,0.264648,0.055065
South Carolina,2004,358954,464027,2642693,0.060715,0.062276,0.001618,0.064288,0.144414,0.03736
South Dakota,2004,66529,94332,472172,0.058986,0.064959,0.001754,0.067938,0.13398,0.030561
Tennessee,2004,477163,642419,3799709,0.060162,0.059734,0.001897,0.059808,0.149332,0.043099
Texas,2004,2052845,2628020,13267576,0.049183,0.051063,0.001673,0.05764,0.127259,0.02875
Utah,2004,226903,358089,1304188,0.042905,0.043279,0.002418,0.056855,0.099034,0.032414
Vermont,2004,52660,70932,411991,0.073243,0.095701,0.002318,0.105406,0.266726,0.058381
Virginia,2004,622210,774068,4680347,0.0509,0.066451,0.001749,0.053064,0.144694,0.032462
Washington,2004,527538,692546,3955836,0.053018,0.068825,0.002104,0.068282,0.181058,0.051166
West Virginia,2004,136919,192780,1215454,0.054913,0.070138,0.001644,0.06997,0.17432,0.038781
Wisconsin,2004,472397,638835,3502106,0.06799,0.077176,0.002137,0.081269,0.164515,0.038456
Wyoming,2004,42257,61866,321211,0.069326,0.072072,0.002133,0.068798,0.153272,0.036485
Alabama,2005,384026,504331,2899055,0.048558,0.049161,0.001364,0.061922,0.122741,0.032476
Alaska,2005,66349,74227,382565,0.058982,0.072673,0.002712,0.081717,0.195438,0.070095
Arizona,2005,522702,660913,3704157,0.065501,0.054769,0.001768,0.070266,0.142046,0.0333
Arkansas,2005,233328,306500,1755313,0.06336,0.055974,0.001465,0.076082,0.145323,0.039432
California,2005,3293484,4085207,22046720,0.054006,0.052719,0.001595,0.065814,0.170162,0.047801
Colorado,2005,389561,513260,2938592,0.069351,0.069468,0.002218,0.076013,0.211807,0.054475
Connecticut,2005,299315,349035,2272942,0.06815,0.084005,0.001917,0.083256,0.232076,0.050964
Delaware,2005,69102,92344,541851,0.062834,0.07615,0.001783,0.071832,0.179073,0.03699
District of Columbia,2005,36509,71305,369695,0.061151,0.087446,0.002825,0.067504,0.196141,0.064096
Florida,2005,1405376,1765323,11819668,0.057347,0.058614,0.001331,0.070002,0.178459,0.03697
Georgia,2005,800536,1007170,5604242,0.046204,0.058967,0.001771,0.059989,0.149745,0.041792
Hawaii,2005,101214,124633,806534,0.058992,0.072015,0.002442,0.069585,0.158113,0.038415
Idaho,2005,130072,171005,869082,0.05023,0.053782,0.001876,0.059884,0.139073,0.035053
Illinois,2005,1100792,1422772,7966227,0.05503,0.061655,0.001726,0.067059,0.153999,0.034019
Indiana,2005,546441,702749,3913195,0.056371,0.059621,0.00176,0.062534,0.15554,0.035959
Iowa,2005,244036,348756,1887732,0.052683,0.056914,0.001521,0.063716,0.129378,0.028969
Kansas,2005,234307,324975,1685072,0.05183,0.064117,0.001863,0.066132,0.148447,0.039833
Kentucky,2005,339347,443407,2675718,0.05386,0.06153,0.001493,0.065046,0.140208,0.032758
Louisiana,2005,385359,523857,2663520,0.054551,0.055098,0.001573,0.05673,0.14668,0.037226
Maine,2005,107149,133984,891125,0.075514,0.100639,0.001703,0.108556,0.277002,0.061564
Maryland,2005,488407,582701,3545971,0.053635,0.067461,0.001805,0.055088,0.133087,0.032514
Massachusetts,2005,510948,693784,4187314,0.063343,0.079641,0.002145,0.088583,0.242636,0.052591
Michigan,2005,901407,1105696,6379828,0.058249,0.076197,0.002016,0.072662,0.170458,0.04478
Minnesota,2005,437254,593399,3249410,0.057106,0.064751,0.001999,0.074983,0.171435,0.053038
Mississippi,2005,257913,339363,1758458,0.046098,0.044533,0.001427,0.05477,0.127719,0.035348
Missouri,2005,490572,648988,3671275,0.050339,0.061452,0.001663,0.064215,0.144614,0.036854
Montana,2005,77917,107581,605606,0.063931,0.084688,0.001918,0.104707,0.222197,0.06989
Nebraska,2005,148761,210037,1083695,0.045978,0.061799,0.001589,0.056205,0.148031,0.033056
Nevada,2005,206623,246089,1551580,0.06283,0.049775,0.002065,0.074912,0.164848,0.051306
New Hampshire,2005,113655,136775,860562,0.05772,0.101465,0.00209,0.084034,0.248431,0.049345
New Jersey,2005,741478,844005,5639515,0.057193,0.059605,0.001523,0.063321,0.159104,0.034579
New Mexico,2005,173970,226724,1183171,0.072705,0.070332,0.00148,0.076983,0.169075,0.039085
New York,2005,1587906,2106543,12383739,0.056922,0.063176,0.001659,0.07735,0.202385,0.048078
North Carolina,2005,723206,900033,5515308,0.051877,0.055922,0.001712,0.069681,0.156353,0.037976
North Dakota,2005,50524,84579,394935,0.045088,0.054037,0.001307,0.044932,0.110343,0.028588
Ohio,2005,977997,1249533,7288639,0.057238,0.063294,0.001727,0.069614,0.165579,0.042052
Oklahoma,2005,295821,415188,2187319,0.052582,0.054525,0.001697,0.062553,0.130567,0.036467
Oregon,2005,297574,395092,2383671,0.071246,0.073417,0.002401,0.082137,0.185677,0.060349
Pennsylvania,2005,1029986,1325571,8088579,0.058594,0.064705,0.001518,0.066465,0.173602,0.040015
Rhode Island,2005,87162,125832,687555,0.071411,0.083889,0.002025,0.096781,0.275409,0.059606
