State,Year,Population_12_17,Population_18_25,Population_26plus,Rates.Marijuana.New Users.12-17,Rates.Marijuana.New Users.18-25,Rates.Marijuana.New Users.26+,Rates_Marijuana_Used_Past_Month_12_17,Rates_Marijuana_Used_Past_Month_18_25,Rates_Marijuana_Used_Past_Month_26plus
Mississippi,2018,241623,316108,1894943,0.045479,0.058306,0.003748,0.056821,0.169864,0.066478
Missouri,2018,465766,627312,4022731,0.05046,0.089302,0.005707,0.05879,0.207349,0.075181
Montana,2018,76259,109604,712413,0.074576,0.116971,0.0098,0.097735,0.298507,0.13175
Nebraska,2018,157259,211523,1215009,0.062914,0.082902,0.005634,0.067529,0.212449,0.06425
Nevada,2018,231765,283278,2046371,0.073807,0.106633,0.010063,0.096655,0.314858,0.1469
New Hampshire,2018,94278,140227,945381,0.076785,0.138051,0.010098,0.081816,0.301583,0.122484
New Jersey,2018,675646,860848,5989388,0.052225,0.085946,0.004768,0.066943,0.224974,0.073022
New Mexico,2018,165707,216551,1364936,0.087506,0.09395,0.008753,0.098329,0.234845,0.109874
New York,2018,1348363,2031273,13191928,0.055915,0.085977,0.006288,0.072002,0.2445,0.093467
North Carolina,2018,793730,1067047,6865689,0.061421,0.064583,0.00594,0.068658,0.19406,0.078331
North Dakota,2018,54491,91846,473049,0.040296,0.087492,0.005561,0.047588,0.170989,0.061935
Ohio,2018,889700,1200403,7734940,0.053941,0.100755,0.006292,0.06451,0.220182,0.08823
Oklahoma,2018,318276,417957,2497934,0.04698,0.081874,0.007093,0.058386,0.192163,0.090888
Oregon,2018,295052,415291,2880798,0.071618,0.11663,0.012609,0.107426,0.326369,0.174868
Pennsylvania,2018,910130,1292868,8675385,0.058105,0.083033,0.006267,0.061126,0.198049,0.087331
Rhode Island,2018,72481,122890,714973,0.067773,0.118216,0.010945,0.082969,0.310022,0.134031
South Carolina,2018,377471,504595,3407157,0.050665,0.061083,0.004633,0.065628,0.183442,0.080933
South Dakota,2018,69325,91692,557354,0.044474,0.07839,0.005027,0.050977,0.147367,0.051278
Tennessee,2018,513011,687939,4497884,0.049373,0.070414,0.0048,0.057034,0.182162,0.076513
Texas,2018,2485959,3116800,17862401,0.048602,0.064687,0.004806,0.059365,0.155149,0.059174
Utah,2018,312345,406023,1821899,0.03684,0.054784,0.005015,0.045811,0.145029,0.049647
Vermont,2018,41066,73777,430733,0.093066,0.155362,0.011448,0.128446,0.389936,0.171088
Virginia,2018,629725,869285,5581639,0.048656,0.075266,0.005265,0.054119,0.202553,0.062455
Washington,2018,545968,738052,5065742,0.063463,0.114453,0.014083,0.099219,0.318022,0.165403
West Virginia,2018,124659,174236,1235448,0.059672,0.084328,0.0057,0.070514,0.208839,0.081155
Wisconsin,2018,442510,615930,3861670,0.053793,0.083485,0.006544,0.065794,0.206651,0.074815
Wyoming,2018,44908,57395,377084,0.054893,0.077788,0.006807,0.058839,0.177295,0.05978
